456,1910
813,1964
370,1991
171,1969
101,1982
301,2013
76,2010
234,1963
423,1994
805,1902
99,1984
146,1923
645,1917
272,2000
896,1925
402,1984
747,1931
378,1901
369,1940
240,1978
739,1975
759,1984
786,1994
317,1977
962,1919
412,2017
285,1938
750,1982
84,1957
623,1950
602,2000
453,1965
504,1917
900,2011
534,2000
67,2019
45,1945
216,2010
659,1990
550,2005
876,1919
712,1966
388,1982
939,1942
314,2012
611,1910
783,1908
33,1990
662,2009
72,1947
922,1965
685,1943
391,1998
150,1929
73,1987
864,2012
386,1999
142,2018
216,1980
597,1934
487,1923
520,1933
988,1943
362,1955
923,1901
424,1984
555,2015
349,1996
933,1994
690,1999
975,1904
213,1959
437,1910
270,1989
794,2001
649,1972
842,1986
425,1906
887,1925
654,2014
902,1952
78,1902
30,1910
629,1906
943,2005
399,2011
987,1910
791,1911
861,1955
445,1958
568,1926
143,1970
801,1974
911,1923
866,1960
772,1973
58,1964
860,1903
10,1937
997,1901
811,1924
121,1964
878,1956
979,2018
260,1939
642,2002
817,1965
60,1969
502,1942
984,1924
971,1914
409,2012
356,2018
994,1971
862,1902
14,1999
78,2018
977,1998
327,1993
630,2000
963,1916
121,1921
507,1934
73,1942
256,1990
801,1962
767,2004
217,2009
135,2013
62,1917
865,1952
742,1960
876,1929
193,1969
988,1915
767,1915
853,1929
870,1974
479,1913
804,1963
57,1989
177,1986
567,1909
628,1975
751,1921
705,2011
335,1987
354,1924
883,1907
512,1963
35,2002
496,2006
486,1984
946,1931
359,1948
368,1949
591,1984
464,1951
562,2015
543,1902
661,1997
188,1966
725,1901
586,2009
307,1920
573,1964
546,2001
857,2003
253,1998
466,1928
129,1993
570,1987
364,1981
843,1998
973,2000
122,1999
376,1928
674,1910
854,1911
555,1990
849,1986
386,1971
645,2011
175,2008
981,1940
925,1994
984,1997
921,1963
300,1978
144,2013
196,1963
879,1979
771,1912
614,2006
284,1995
314,1988
13,1977
178,1959
542,1950
528,1924
91,1969
69,1980
110,1925
652,1901
135,2016
444,1947
413,1908
83,1958
393,1945
782,2011
341,1999
819,1958
315,1916
350,2005
387,2008
850,2003
407,1970
229,1978
315,1999
205,1961
781,1968
606,1975
643,2018
540,1966
255,1970
489,1990
959,1989
772,1908
272,1905
804,1915
417,1986
314,2001
213,2017
303,1920
421,2000
596,1992
28,1904
989,1951
353,1948
796,1990
636,1990
252,1917
910,1941
836,1993
985,1914
948,1995
72,1957
466,1973
116,1939
55,1982
663,1917
758,1968
924,1900
649,1929
515,1958
714,1937
686,1925
186,1974
744,1933
636,2017
776,1938
357,1956
163,1969
41,1935
786,1992
410,1916
525,1969
787,2006
461,1958
256,1905
454,1973
932,1908
285,1955
420,1948
